,corp1.txt,corp10.txt,corp2.txt,corp3.txt,corp4.txt,corp5.txt,corp6.txt,corp7.txt,corp8.txt,corp9.txt,idf,tf.idfcorp1.txt,tf.idfcorp10.txt,tf.idfcorp2.txt,tf.idfcorp3.txt,tf.idfcorp4.txt,tf.idfcorp5.txt,tf.idfcorp6.txt,tf.idfcorp7.txt,tf.idfcorp8.txt,tf.idfcorp9.txt
أ ط,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4771212547196624,0.0,0.0,0.0,0.0
أ ع,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,0.5114409330385058,0.3010299956639812,0.0,0.39164905395343774,0.3010299956639812
أ غ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6989700043360187,0.0,0.0
أ ف,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.22184874961635637,0.0,0.32769750339130055,0.0,0.22184874961635637,0.0,0.0,0.2886318777514278,0.22184874961635637,0.22184874961635637,0.22184874961635637
أ ق,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.3979400086720376,0.0,0.0,0.0,0.3979400086720376,0.5878056449127935,0.0,0.0,0.3979400086720376,0.3979400086720376,0.0
أ ك,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.22184874961635637,0.2886318777514278,0.2886318777514278,0.0,0.2886318777514278,0.0,0.22184874961635637,0.2886318777514278,0.0,0.22184874961635637,0.0
أ ل,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3979400086720376,0.0,0.5177318877571058,0.0,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.0
أ م,0.0,9.0,0.0,1.0,1.0,21.0,4.0,1.0,1.0,0.0,0.15490195998574316,0.0,0.3027159949996086,0.0,0.15490195998574316,0.15490195998574316,0.3597163202709943,0.24816223267144408,0.15490195998574316,0.15490195998574316,0.0
أ ن,3.0,4.0,0.0,2.0,5.0,9.0,7.0,2.0,1.0,0.0,0.09691001300805642,0.1431478400093591,0.1552556545992796,0.0,0.126082833803668,0.16464720522050125,0.18938566701066178,0.17880847505892103,0.126082833803668,0.09691001300805642,0.0
أ ه,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6020599913279625,0.0,0.0,0.0
أ و,0.0,0.0,6.0,1.0,0.0,5.0,3.0,2.0,3.0,8.0,0.15490195998574316,0.0,0.0,0.27543911383552633,0.15490195998574316,0.0,0.26317378362863586,0.22880897749267587,0.20153209632859362,0.22880897749267587,0.2947923690142945
أ ي,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,0.3979400086720376,0.0,0.0,0.0,0.0,0.0,0.5177318877571058,0.5177318877571058,0.3979400086720376,0.676088138259007,0.0
ؤ ا,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.6989700043360189,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0
ؤ ث,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.6989700043360189,0.0
ؤ خ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6989700043360189,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0
ؤ د,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ؤ س,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6020599913279625,0.0,0.0,0.0
ؤ ش,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ؤ ق,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ؤ و,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ؤ ي,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
إ ب,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
إ ت,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
إ ث,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
إ ج,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.5228787452803376,0.0,0.6802809317048656,0.0,0.0,0.0,0.7723553082947351,0.0,0.0,0.5228787452803376,0.0
إ ح,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
إ خ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
إ د,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.9093809417105436,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0
إ ذ,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,1.187529071297513,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
إ ر,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.9093809417105436,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0
إ س,0.0,19.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.3979400086720376,0.0,0.9068072277246056,0.0,0.3979400086720376,0.0,0.0,0.5878056449127935,0.3979400086720376,0.0,0.0
إ ص,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.3979400086720376,0.0,0.6375237668421739,0.0,0.0,0.5878056449127935,0.3979400086720376,0.0,0.0,0.6375237668421739,0.0
إ ض,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.6989700043360189,0.0,1.032463449816228,0.0,0.0,0.0,0.0
إ ع,1.0,5.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.5114409330385058,0.0,0.39164905395343774,0.0,0.5114409330385058,0.39164905395343774,0.0,0.0,0.0
إ ف,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
إ ل,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3979400086720376,0.0,0.3979400086720376,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.0,0.0,0.0,0.0
إ م,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,1.032463449816228,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0
إ ن,1.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,4.0,5.0,0.09691001300805642,0.09691001300805642,0.0,0.09691001300805642,0.0,0.09691001300805642,0.1552556545992796,0.1552556545992796,0.126082833803668,0.1552556545992796,0.16464720522050125
إ ي,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ئ ا,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.6989700043360189,0.0,0.0,0.9093809417105436,0.0,0.0,0.0,0.0
ئ ة,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.5228787452803376,0.0,0.0,0.0,0.0,0.0,0.7723553082947351,0.0,0.0,0.5228787452803376,0.5228787452803376
ئ ت,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ئ ح,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ئ س,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ئ ق,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0
ئ ل,1.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,3.0,0.22184874961635637,0.22184874961635637,0.2886318777514278,0.0,0.0,0.3554150058864992,0.22184874961635637,0.22184874961635637,0.0,0.0,0.32769750339130055
ئ م,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.6989700043360189,0.0,1.032463449816228,0.0,0.0,0.0,0.0,0.0,1.187529071297513,0.0,0.0
ئ ن,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.6989700043360189,0.0,0.6989700043360189,0.0,0.0,0.0,0.0
ئ ه,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5228787452803376,0.0,0.0,0.0,0.5228787452803376,0.0,0.5228787452803376,0.5228787452803376,0.0,0.0,0.0
ئ و,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
